stream_id,label,avg_probability,count
0,LiveAction,0.5730,20
0,HighQuality,0.5462,55
0,Informational,0.5019,93
0,Lighthearted,0.3739,2
0,Animation,0.6368,93
0,Exciting,0.3581,31
0,LowQuality,0.5495,58
0,Emotional,0.3972,76
0,RealityCapture,0.4127,12
0,Storytelling,0.4105,8
0,Tense,0.3533,2
1,BasicRecording,0.9808,113
1,InformationalAudio,0.9547,77
1,EmotionalAudio,0.9629,3
1,EerieAudio,0.9971,141
1,AnimatedAudio,0.9103,32
1,FactualAudio,0.9636,63
1,StorytellingAudio,0.9380,5
1,LightAudio,0.8344,1
